_id,BranchCode,PhysicalBranch,BranchName,Address,lat,lon
80,PK,1,Parkdale,"1303 Queen Street West, Toronto, ON, M6K 1L6",43.641174,-79.432659
81,PL,1,Parliament Street,"269 Gerrard Street East, Toronto, ON, M5A 2G3",43.661804,-79.3678
82,PM,1,Palmerston,"560 Palmerston Avenue, Toronto, ON, M6G 2P7",43.665093,-79.414052
84,PU,1,Port Union,"5450 Lawrence Avenue East, Toronto, ON, M1C 3B2",43.779478,-79.140289
85,PV,1,Pleasant View,"575 Van Horne Avenue, Toronto, ON, M2J 4S8",43.787559,-79.33543
86,QS,1,Queen/Saulter,"765 Queen Street East, Toronto, ON, M4M 1H3",43.659144,-79.347593
87,RD,1,Riverdale,"370 Broadview Avenue, Toronto, ON, M4K 2M8",43.665759,-79.353163
88,RI,1,Richview,"1806 Islington Avenue, Toronto, ON, M9P 3N3",43.683404,-79.541119
89,RN,1,Runnymede,"2178 Bloor Street West, Toronto, ON, M6S 1M8",43.651856,-79.473844
90,RX,1,Rexdale,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",43.72613,-79.573207
91,SA,1,Sanderson,"327 Bathurst Street, Toronto, ON, M5T 1J1",43.652085,-79.405519
93,SC,1,Scarborough Civic Centre,"156 Borough Drive, Toronto, ON, M1P 4N7",43.772096,-79.256764
94,SI,1,St. Clair/Silverthorn,"1748 St. Clair Avenue West, Toronto, ON, M6N 1J3",43.674263,-79.460585
95,SJ,1,St. James Town,"495 Sherbourne Street, Toronto, ON, M4X 1K7",43.667263,-79.374467
96,SL,1,St. Lawrence,"171 Front Street East, Toronto, ON, M5A 4H3",43.649981,-79.368496
97,SP,1,Spadina Road,"10 Spadina Road, Toronto, ON, M5R 2S7",43.667159,-79.404378
98,ST,1,Steeles,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",43.815381,-79.322304
99,SW,1,Swansea Memorial,"95 Lavinia Avenue, Toronto, ON, M6S 3H9",43.64793,-79.478022
100,SWS,1,S. Walter Stewart,"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",43.692115,-79.329696
101,TA,1,Taylor Memorial,"1440 Kingston Road, Toronto, ON, M1N 1R3",43.687781,-79.271252
102,TH,1,Thorncliffe,"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",43.702907,-79.342644
103,TOD,1,Todmorden Room,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",43.691626,-79.349326
104,TRL,1,Toronto Reference Library,"789 Yonge Street, Toronto, ON, M4W 2G8",43.671737,-79.386763
106,VV,1,Victoria Village,"184 Sloane Avenue, Toronto, ON, M4A 2C4",43.736011,-79.312911
107,WE,1,Weston,"2 King Street, Toronto, ON, M9N 1K9",43.701796,-79.520585
108,WP,1,Woodview Park,"16 Bradstock Road, Toronto, ON, M9M 1M8",43.739722,-79.538941
109,WS,1,Woodside Square,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",43.809463,-79.269548
110,WY,1,Wychwood,"1431 Bathurst Street, Toronto, ON, M5R 3J2",43.682181,-79.417548
111,YO,1,Yorkville,"22 Yorkville Avenue, Toronto, ON, M4W 1L4",43.671826,-79.388644
112,YW,1,York Woods,"1785 Finch Avenue West, Toronto, ON, M3N 1M6",43.758893,-79.507267
