lat,lon,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,ADDRESS_LINE_1
43.7757661,-79.4891707,Licensed Lab and Specimen Collection Centre,Community (Private) Lab Location,Vector Health Laboratory Services Ltd.,646 Petrolia Road
43.6638722,-79.4182197,Family Health Team,Satellite,Taddle Creek Family Health Team- The Christie Clinic,726 Bloor Street West
43.6982336,-79.4701654,Long-Term Care Home,NH non-profit,Harold and Grace Baker Centre,1 Northwestern Avenue
43.6586846,-79.3700146,Mental Health and Addiction Organization,Mental Health Services,Street Health,338 Dundas Street East
43.6673796,-79.3724938,Pharmacy,Retail Pharmacy,James Town Pharmacy,5-225 Wellesley Street East
43.6599257,-79.3787812,HIV AIDS and Hep C Program,"At Site, HIV POC Testing",Hassle Free Clinic,66 Gerrard Street East
43.646605,-79.3789769,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #945,181 Bay Street
43.7546874,-79.5246546,Long-Term Care Home,NH non-profit,Humber Meadows Long-Term Care Home,2109 Finch Avenue West
43.7423198,-79.3144807,Pharmacy,Retail Pharmacy,Victoria Care Pharmacy,3-1448 Lawrence Avenue East
43.6844684,-79.3172847,Family Health Team,Main,South East Toronto Family Health Team,1871 Danforth Avenue
43.6394598,-79.4501415,Pharmacy,Hospital Outpatient Dispensiary,St. Joseph's Health Ctre,30 The Queensway
43.676616,-79.4422114,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,1615 Dufferin Street
43.7042774,-79.4110586,Pharmacy,Retail Pharmacy,Viva Pharmacy,201-418 Eglinton Avenue West
43.6436939,-79.4203519,Mental Health and Addiction Organization,Mental Health Services,Working For Change,1051 Queen Street West
43.6697484,-79.4731168,Pharmacy,Retail Pharmacy,Metro Pharmacy #577,2155 St Clair Avenue West
43.7076014,-79.3600686,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #6025,B-25 Industrial Street
43.6551764,-79.4073211,Mental Health and Addiction Organization,Mental Health Services,University Health Network,440 Bathurst Street
43.6429833,-79.4212156,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Centre For Addiction And Mental Health (CAMH),60 White Squirrel Way
43.701368,-79.5216469,Pharmacy,Retail Pharmacy,Total Health Pharmacy,2050 Weston Road
43.7353535,-79.5623629,Community Support Service,,Central And Northern Etobicoke Home Support Services,Suite 309 925 Albion Road
43.6802524,-79.3449855,Pharmacy,Retail Pharmacy,Pape Drug Mart,751 Pape Avenue
43.6991767,-79.359662,Pharmacy,Retail Pharmacy,The Drug Store Pharmacy #1092,11 Redway Road
43.6499365,-79.3693934,HIV AIDS and Hep C Program,"CBAESP, HR Program",2-Spirited People Of The 1st Nations,145 Front Street East
43.6896477,-79.2945445,Pharmacy,Retail Pharmacy,Medimost Pharmacy,2883 Danforth Avenue
43.6603485,-79.3785401,HIV AIDS and Hep C Program,CBAESP,Teresa Group Child And Family Aid,355 Church Street
43.7759215,-79.3222494,Pharmacy,Retail Pharmacy,Green Cross Pharmacy,2920 Sheppard Avenue East
43.660489,-79.3860552,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Dynacare,790 Bay Street
43.6779696,-79.3582566,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, Mammography, Radiography, Vascular Ultrasound, Pulmonary Function B - Lung Volumes & Diffusion",Albany Diagnostic Radiology,807 Broadview Avenue
43.6724461,-79.3200577,Pharmacy,Retail Pharmacy,L&A Pharmacy,1485 Gerrard Street East
43.6574467,-79.3571567,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Good Shepherd Non-Profit Homes Inc.,550 Queen Street East
43.7651906,-79.520096,Community Support Service,,Jane/Finch Community And Family Centre,4400 Jane Street
43.6565238,-79.3828418,Pharmacy,Retail Pharmacy,Rexall #6990,595 Bay Street
43.6779696,-79.3582566,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,807 Broadview Avenue
43.6431019,-79.4058715,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1288,761 King Street West
43.7166113,-79.4475308,Community Support Service,,Cota Health,700 Lawrence Avenue West Suite 362
43.6608615,-79.3284208,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1004,17 Leslie Street
43.724768,-79.4904078,Hospital,Site,Humber River Health - Wilson,1235 Wilson Avenue
43.6646577,-79.4141409,Pharmacy,Retail Pharmacy,Green Pharmacy,620A Bloor Street West
43.6445136,-79.5322713,Pharmacy,Retail Pharmacy,Dunbloor Medical Pharmacy,5115 Dundas Street West
43.6654925,-79.4116835,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, General Ultrasound, Mammography, Radiography, Vascular Ultrasound",Annex Medical Imaging,800 Bathurst Street
43.6622905,-79.372014,Mental Health and Addiction Organization,Addiction Services,Unity Health Toronto,333 Sherbourne Street
43.7097037,-79.3993437,Community Support Service,,Anne Johnston Health Station - Tobias House Attendant Care,2398 Yonge Street
43.6642464,-79.3799522,Pharmacy,Retail Pharmacy,Medsexpert Pharmacy,461 Church Street
43.6554855,-79.3742681,Mental Health and Addiction Organization,Mental Health Services,Homes First Society,90 Shuter Street
43.6613848,-79.3394576,Pharmacy,Retail Pharmacy,Woodgreen Discount Pharmacy,1000 Queen Street East
43.6678982,-79.3850533,Pharmacy,Retail Pharmacy,Pace Pharmacy,14 Isabella Street
43.660489,-79.3860552,Integrated Community Health Services Centre,Sleep Studies,Sleep And Alertness Clinic,790 Bay Street
43.7023889,-79.5234044,Pharmacy,Retail Pharmacy,Central Weston Pharmacy,2105 Weston Road
43.6622425,-79.3786716,Community Health Centre,Satellite,Vibrant Health Care Alliance Carlton Site,84 Carlton Street
43.6661751,-79.3751881,HIV AIDS and Hep C Program,HIV Clinical Services,"St. Michael's Hospital, Family Health Team, Wellesley-St. James Town Health Centre",95 Homewood Avenue
43.7166113,-79.4475308,Community Health Centre,Satellite,Unison Health And Community Services Pathways To Education,"700 Lawrence Avenue West, Ste 440B"
43.6600506,-79.3612315,Mental Health and Addiction Organization,Mental Health Services,Unity Health Toronto,73 Regent Park Boulevard
43.7195228,-79.4449498,HIV AIDS and Hep C Program,"At Site, HR Program, HIV POC Testing",Unison Health And Community Services,12 Flemington Road
43.6895863,-79.3261147,Hospital,Corporation,Michael Garron Hospital,825 Coxwell Avenue
43.665605,-79.4675567,Pharmacy,Retail Pharmacy,Dundas West Village Pharmacy,2940 Dundas Street West
43.6581803,-79.4034329,Pharmacy,Long Term Care Facility,The Kensington Gardens,25 Brunswick Avenue
43.7238978,-79.3362547,Pharmacy,Retail Pharmacy,One Medical Pharmacy,120-20 Wynford Drive
43.6654017,-79.4035676,Pharmacy,Retail Pharmacy,Spadina Medical Pharmacy,100-720 Spadina Avenue
43.7063693,-79.3898069,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #818,710 Mount Pleasant Road
43.7137581,-79.3072042,Pharmacy,Retail Pharmacy,Theodore Pharmacy,1450 O'Connor Drive
43.6899992,-79.3265996,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,840 Coxwell Avenue
43.6388088,-79.4274544,Pharmacy,Retail Pharmacy,Charles Family Pharmacy,1-1211 King Street West
43.7057867,-79.3460242,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Smh Kidney Care Center,45 Overlea Boulevard
43.7111494,-79.4678125,Pharmacy,Retail Pharmacy,Blue Sky Pharmacy,1176-A StreetClair Avenue West
43.6368153,-79.4263009,Mental Health and Addiction Organization,Mental Health Services,Cota Health,219 Dufferin Street
43.7031958,-79.5249267,Pharmacy,Retail Pharmacy,Weston Drug Mart,2159 Weston Road
43.6302804,-79.4765716,Pharmacy,Retail Pharmacy,Medicine Cabinet,2081 Lake Shore Boulevard West
43.7594142,-79.4234834,Licensed Retirement Home,,Chartwell Lansing Retirement Residence,10 Senlac Road
43.6769469,-79.4466785,Pharmacy,Retail Pharmacy,Clair Gardens Pharmacy,1263 St Clair Avenue West
43.8042382,-79.3340302,Hospital,Corporation,Bellwood Health Services,1020 McNicoll Avenue
43.6706838,-79.4548446,Seniors Active Living Centre,,Davenport-Perth Neighbourhood & Community Health Centre,1900 Davenport Road
43.6595697,-79.387061,Hospital,Corporation,University Health Network - Toronto General,200 Elizabeth Street
43.6541749,-79.407033,Pharmacy,Retail Pharmacy,Freshco Pharmacy #7275,410 Bathurst Street
43.6716736,-79.3768662,Pharmacy,Retail Pharmacy,Rosedale Pharmacy,600 Sherbourne Street
43.6733084,-79.401464,Mental Health and Addiction Organization,Addiction Services,"Governing Council Of The Salvation Army In Canada, The",78 Admiral Road
43.6568599,-79.4520322,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,2340 Dundas Street West
43.6553824,-79.3871159,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Ontario,180 Dundas Street West
43.6643283,-79.3840432,Mental Health and Addiction Organization,Mental Health Services,Reconnect Community Health Services,543 Yonge Street
43.660489,-79.3860552,Integrated Community Health Services Centre,General Ultrasound,Create Fertility Clinic Inc.,790 Bay Street
43.6715166,-79.2938424,Pharmacy,Retail Pharmacy,Hooper's Pharmacy,2136 Queen Street East
43.6493598,-79.4292853,Pharmacy,Retail Pharmacy,Rexall #8142,1421 Dundas Street West
43.6803356,-79.2911125,Pharmacy,Retail Pharmacy,Beech Medical Pharmacy,856 Kingston Road
43.682728,-79.4183274,Pharmacy,Retail Pharmacy,Charles Pharmacy,109-1466 Bathurst Street
43.6494106,-79.3625167,Community Support Service,,Les Centres D'Accueil Heritage,"33 Hahn Place, Ste 104"
43.7743882,-79.4423567,Pharmacy,Retail Pharmacy,Northview Pharmacy,4949 Bathurst Street
43.6804745,-79.5530087,Community Support Service,,Richview Residence Supportive Housing Corporation,"1540 Kipling Avenue,"
43.6562453,-79.3624991,HIV AIDS and Hep C Program,CBAESP,"Good Shepherd Refuge Social Ministries, Barret House",412 Queen Street East
43.6464786,-79.4021882,HIV AIDS and Hep C Program,"CBAESP, HCV Service",Canadian AIDS Treatment Information Exchange,555 Richmond Street West
43.6655193,-79.3830885,Pharmacy,Retail Pharmacy,Srx Pharmacy,34 Wellesley Street East
43.641871,-79.4294474,HIV AIDS and Hep C Program,"At Site, HIV POC Testing","Parkdale Queen West Community Health Centre, Queen Site",1229 Queen Street West
43.6860256,-79.3936248,Integrated Community Health Services Centre,"Bone Mineral Dxa, Radiography, General Ultrasound, Vascular Ultrasound",Ontario Diagnostic Centre (ODC) - Yonge,1366 Yonge Street
43.6732175,-79.3952365,Licensed Retirement Home,,Hazelton Place Retirement Residence,111 Avenue Road
43.7603576,-79.3029148,Pharmacy,Retail Pharmacy,Dalecliff Medical Pharmacy,2-209 Ellesmere Road
43.6658218,-79.3785429,Community Health Centre,Satellite,Vibrant Health Care Alliance Jarvis Site,460 Jarvis Street
43.6505286,-79.3656041,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Ontario Federation Of Indigenous Friendship Centres,219 Front Street East
43.7272366,-79.4317811,Midwifery Clinic,Main,Uptown Midwives And Family Wellness,3426 Bathurst Street
43.664414,-79.3722386,Seniors Active Living Centre,,Dixon Hall - The Adult Enrichment Program,55 Bleecker Street
43.6639049,-79.3713875,Community Support Service,,Mid Toronto Community Services Inc.,192 Carlton Street
43.6815537,-79.2986841,Pharmacy,Long Term Care Facility,Main Street Terrace,77 Main Street
43.6989607,-79.3869195,Licensed Retirement Home,,The Claremont,305 Balliol Street
43.6723286,-79.378141,Pharmacy,Retail Pharmacy,Sherbourne Station Pharmacy,6-366 Bloor Street East
43.6357279,-79.5399172,Pharmacy,Retail Pharmacy,Dundas Kipling Pharmacy,5359 Dundas Street West
43.7788169,-79.4209279,Community Support Service,,Community Head Injury Resource Services Of Toronto,62 Finch Avenue
43.6478094,-79.4023004,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #993,524 Queen Street West
44.3563381,-78.7542593,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Med-Health Laboratories Ltd.,"65 Angeline Street North, Lindsay, On, K9V 4R1 Unit # 5"
43.6192754,-79.5612388,Pharmacy,Allergen Supplier,"Patel, Piyush Dr",133 The West Mall Unit 4
43.7011468,-79.5172942,Pharmacy,Retail Pharmacy,John & Weston Discount Drugs,17 John Street
43.6725188,-79.4015325,Long-Term Care Home,NH for-profit,St. George Community,225 St. George Street
43.6732235,-79.421565,Long-Term Care Home,MHFA,Castleview Wychwood Towers,351 Christie Street
43.6551167,-79.4493212,Pharmacy,Retail Pharmacy,Loblaw Pharmacy # 1154,2280 Dundas Street West
43.7082867,-79.3919675,Pharmacy,Retail Pharmacy,Razi,101-212 Eglinton Avenue East
43.668838,-79.3064117,Pharmacy,Retail Pharmacy,Queen East Medical Pharmacy,1876 Queen Street East
43.659599,-79.3880102,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Toronto General Hospital,200 Elizabeth Street
43.6859011,-79.4216559,Pharmacy,Long Term Care Facility,Arirang Korean Long Term Care,17 Maplewood Avenue
43.6423337,-79.4193352,Mental Health and Addiction Organization,Mental Health Services,Centre For Addiction And Mental Health (CAMH),1001 Queen Street West
43.7687331,-79.4147595,Pharmacy,Retail Pharmacy,Trillium Specialty Pharmacy,#130 5 Park Home Avenue
43.7384681,-79.2386358,Pharmacy,Long Term Care Facility,Chartwell Trilogy LTC Residenc,340 Mccowan Road
43.6493851,-79.3886781,Community Support Service,,Loft Community Services,205 Richmond Street West Suite 301
43.6788884,-79.3443525,Mental Health and Addiction Organization,Mental Health Services,Toronto East Health Network,671 Danforth Avenue
43.6640964,-79.4814344,Hospital,Corporation,Runnymede Healthcare Centre,625 Runnymede Road
43.8103934,-79.2575326,Pharmacy,Retail Pharmacy,Remedy's Rx Arogya Pharmacy,102-5200 Finch Avenue East
43.803424,-79.3355506,Community Support Service,,Carefirst Seniors Community Services Association,3601 Victoria Park Avenue
43.6583483,-79.3891679,Pharmacy,Retail Pharmacy,Transplant Outpatent Pharmacy,585 University Avenue 12Fl Rm1202
43.6533774,-79.4667968,Pharmacy,Retail Pharmacy,High Park Pharmacy,1938 Bloor Street West
43.6958565,-79.2923406,Seniors Active Living Centre,,South Riverdale Community Health Centre Crescent Town Club - Call-A-Service,2A The Market Place
43.669506,-79.3977623,Integrated Community Health Services Centre,Eye Surgery,Stein Surgical Centre Inc.,40 Prince Arthur Avenue
43.6888108,-79.4125157,Pharmacy,Retail Pharmacy,Apotheca Compounding Pharmacy,417 Spadina Road
43.6864528,-79.446256,Pharmacy,Retail Pharmacy,Dufferin Medical Pharmacy,2045 Dufferin Street
43.6882324,-79.3035339,Integrated Community Health Services Centre,"Mammography, Radiography, General Ultrasound",Danforth/Main X-Ray Ultrasound & Mammography Clinic,2494 Danforth Avenue
43.6803306,-79.4331908,Pharmacy,Retail Pharmacy,Glenholme Pharmacy,896 St Clair Avenue West
43.7205427,-79.3049591,Long-Term Care Home,NH for-profit,Fountain View Community,1800 O'Connor Drive
43.6721039,-79.42102,Pharmacy,Retail Pharmacy,The Drug Store Pharmacy #1029,650 Dupont Street
43.7092621,-79.2964303,Pharmacy,Retail Pharmacy,Main Drug Mart,1180 Victoria Park Avenue
43.6969404,-79.3958375,Integrated Community Health Services Centre,"Mammography, Radiography, General Ultrasound, Bone Mineral Dxa",Midtown Diagnostic Imaging,1849 Yonge Street
43.6701934,-79.3001827,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #984,2000 Queen Street East
43.732337,-79.4045066,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1240,3366 Yonge Street
43.6598213,-79.3634553,Midwifery Clinic,Main,Seventh Generation Midwives Toronto,525 Dundas Street East
43.6492926,-79.4836596,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,2425 Bloor Street West
43.652365,-79.4064143,Community Health Centre,Satellite,Parkdale Queen West Community Health Centre Dundas Site,750 Dundas Street West
43.6617676,-79.378936,Pharmacy,Retail Pharmacy,Maple Leaf Medical Pharmacy,399 Church Street
43.6504887,-79.4246021,Mental Health and Addiction Organization,Mental Health Services,Cota Health,150 Harrison Street
43.6622905,-79.372014,Pharmacy,Retail Pharmacy,Pharmacy.Ca,333 Sherbourne Street
43.7077306,-79.3435242,Pharmacy,Retail Pharmacy,Thornlea Pharmacy,4A-62 Overlea Boulevard
43.746906,-79.2850204,Pharmacy,Retail Pharmacy,Extra Care Pharmacy,9-2155 Lawrence Avenue East
43.694758,-79.4495088,Community Support Service,,St. Hilda's Towers Inc.,2339 Dufferin Street
43.6540061,-79.3872912,Community Support Service,,The Arthritis Society,393 University Avenue
43.6840057,-79.3235641,Pharmacy,Allergen Supplier,Rohallion Immune Products,717 Coxwell Avenue
43.6643283,-79.3840432,HIV AIDS and Hep C Program,CBAESP,AIDS Committee Of Toronto,543 Yonge Street
43.6498974,-79.3832407,Pharmacy,Retail Pharmacy,Rexall #851,R28-120 Adelaide Street West
43.6614236,-79.3717625,HIV AIDS and Hep C Program,CBAESP,Toronto HIV Network (C/O Toronto People With AIDS Foundation),200 Gerrard Street East
43.664315,-79.3837751,Pharmacy,Retail Pharmacy,The Village Pharmacy,535 Yonge Street
43.7708518,-79.4461539,Pharmacy,Long Term Care Facility,Valleyview Residence,541 Finch Avenue West
43.6885006,-79.4123543,Pharmacy,Retail Pharmacy,Rexall #6991,393 Spadina Road
43.6605628,-79.3714113,Mental Health and Addiction Organization,Addiction Services,Jean Tweed Treatment Centre,291 Sherbourne Street
43.6388895,-79.42812,Pharmacy,Retail Pharmacy,International Pharmacy,1218 King Street West
43.6535452,-79.4456258,HIV AIDS and Hep C Program,CBAESP,Family Service Toronto,128A Sterling Road
43.6657824,-79.4964186,Pharmacy,Retail Pharmacy,The Drug Store Pharmacy #1099,3671 Dundas Street West
43.7179395,-79.3777042,Community Support Service,,Vision Loss Rehabilitation Canada - Toronto,1929 Bayview Avenue
43.7307603,-79.4558313,Pharmacy,Retail Pharmacy,Costco Pharmacy #535,100 Billy Bishop Way
43.6553077,-79.4127326,Pharmacy,Retail Pharmacy,Wellmedica Manning,565 College Street
43.7305354,-79.4336674,Pharmacy,Long Term Care Facility,The Jewish Home For The Aged,3560 Bathurst Street
43.6410872,-79.3779449,Pharmacy,Retail Pharmacy,Rexall #8164,88 Queens Quay West
43.7033381,-79.4771755,Pharmacy,Retail Pharmacy,Main Drug Mart,2306 Keele Street
43.6899685,-79.3952047,Pharmacy,Retail Pharmacy,Delisle Pharmacy,1566 Yonge Street
43.654657,-79.3645446,HIV AIDS and Hep C Program,CBAESP,Africans In Partnership Against AIDS,526 Richmond Street East
43.6844684,-79.3172847,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,1871 Danforth Road
43.6716736,-79.3768662,Integrated Community Health Services Centre,"General Ultrasound, Vascular Ultrasound, Bone Mineral Dxa, Mammography, Radiography",Rosedale Medical Imaging,600 Sherbourne Street
43.6678983,-79.3395807,Seniors Active Living Centre,,Second Mile Club - East Toronto Senior Recreation Club,953 Gerrard Street
43.6622137,-79.4236767,Pharmacy,Retail Pharmacy,Bloor St Pharmacy,849 Bloor Street West
43.7011861,-79.4260557,Pharmacy,Retail Pharmacy,Eglinton-Bathurst Pharmacy,856 Eglinton Avenue West
43.6809779,-79.3356125,Pharmacy,Retail Pharmacy,Drug Basics Pharmacy,1068 Danforth Avenue
43.6623215,-79.4286375,Mental Health and Addiction Organization,Addiction Services,St. Michael's Homes,35 Northumberland Street
43.654657,-79.3645446,HIV AIDS and Hep C Program,"CBAESP, HR Program, HCV Service",Prisoners With HIV/AIDS Support Action Network,526 Richmond Street East
43.6584283,-79.4082587,Pharmacy,Allergen Supplier,"Beharry, Rajendra Dr",567 Bathurst Street
43.6674073,-79.3725688,Pharmacy,Retail Pharmacy,Lord's Pharmacy,225 Wellesley Street East Unit 2
43.7956829,-79.3160148,Community Support Service,,Senior Persons Living Connected,3333 Finch Avenue East
43.7561183,-79.5250835,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Med-Health Laboratories Limited,2100 Finch Avenue West Suite 212
43.6424549,-79.3967498,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs Lp,"486 Front Street West Building F, Unit Lg 14"
43.6547731,-79.3739031,Mental Health and Addiction Organization,Addiction Services,"Governing Council Of The Salvation Army In Canada, The",160 Jarvis Avenue
43.7323824,-79.3474236,Seniors Active Living Centre,,Better Living Health And Community Services - E.P. Taylor Place,1 Overland Drive
43.6481137,-79.4284695,Pharmacy,Long Term Care Facility,Fairview Nursing Home,14 Cross Street
43.6717471,-79.4056006,Licensed Retirement Home,,The Annex,123 Spadina Road
43.6562168,-79.3589193,Community Support Service,,Dixon Hall,58 Sumach Street
43.6481256,-79.3794869,Pharmacy,Retail Pharmacy,Rexall #42,C186-199 Bay Street
43.7097037,-79.3993437,Mental Health and Addiction Organization,Addiction Services,Sunnybrook Health Sciences Centre,2398 Yonge Street
43.6720239,-79.376928,Pharmacy,Retail Pharmacy,Bloor-Sherbourne Pharmacy,608 Sherbourne Street
43.7225945,-79.3375061,Pharmacy,Retail Pharmacy,Drugstore Pharmacy #1077,825 Don Mills Road
43.6433505,-79.4474279,Pharmacy,Retail Pharmacy,Welcome Guardian Drugs,137 Roncesvalles Avenue
43.6391787,-79.4501117,Hospital,Corporation,Unity Health Toronto - St. Joseph's,30 The Queensway
43.6552796,-79.3986276,Pharmacy,Retail Pharmacy,One Community Pharmacy,347 Spadina Avenue
43.6864922,-79.4035402,Pharmacy,Allergen Supplier,St Clair Allergy Service Ltd,202 St Clair Avenue West
43.7303188,-79.4323536,Hospital,Corporation,Baycrest Hospital - North York,3560 Bathurst Street
43.6429914,-79.4189019,Mental Health and Addiction Organization,Mental Health Services,Working For Change,101 Stokes Street
43.7081798,-79.39972,Community Support Service,,Self Help Resource Centre Of Greater Toronto,40 Orchard View Boulevard
43.658135,-79.3853063,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #822,700 Bay Street
43.7064696,-79.3891537,Pharmacy,Retail Pharmacy,Wellnessshield,701 Mount Pleasant Road
43.6519997,-79.3746856,Mental Health and Addiction Organization,Mental Health Services,Pilot Place Society,70 Lombard Street
43.653656,-79.395719,Pharmacy,Retail Pharmacy,99 Pharmacy,436 Dundas Street West
43.747039,-79.2877717,Pharmacy,Retail Pharmacy,Main Drug Mart,2130 Lawrence Avenue East
43.7057867,-79.3460242,Integrated Community Health Services Centre,"Bone Mineral Dxa, General Ultrasound, Radiography",Thorncliffe Radiology,45 Overlea Boulevard
43.7187523,-79.3706524,Community Support Service,,Spinal Cord Injury Ontario,520 Sutherland Drive
43.655588,-79.3741627,Seniors Active Living Centre,,Haven Toronto,170 Jarvis Street
43.6542544,-79.4189109,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #813,725 College Street
43.6639049,-79.3713875,Seniors Active Living Centre,,Dixon Hall - Mandarin,192 Carlton Street
43.651296,-79.4121152,Mental Health and Addiction Organization,Addiction Services,Unity Health Toronto,892 Dundas Street West
43.7394473,-79.2153955,Community Support Service,,Momiji Health Care Society,3555 Kingston Road
43.6574732,-79.3903189,HIV AIDS and Hep C Program,HIV Clinical Services,"Mount Sinai Hospital, Department Of Psychiatry, Clinic For HIV-Related Concerns",600 University Avenue
43.7026057,-79.3515018,Midwifery Clinic,Main,The Midwives Clinic Of East York-Don Mills,1 Leaside Park Drive
43.6562453,-79.3624991,Community Support Service,,Good Shepherd Refuge Social Ministries,412 Queen Street East
43.7125566,-79.3999061,Pharmacy,Retail Pharmacy,The Village Pharmacy,2518 Yonge Street
43.6473449,-79.4016894,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1000,585 Queen Street West
43.6193462,-79.4999763,Pharmacy,Retail Pharmacy,Kassel's Pharmacy Limited,396 Royal York Road
43.7174386,-79.3715787,Children's Treatment Centre,,Holland Bloorview Kids Rehabilitation Hospital,350 Rumsey Road
43.6574697,-79.4012219,Pharmacy,Retail Pharmacy,Royal Care Pharmacy,295 College Street
43.7190932,-79.50738,Pharmacy,Retail Pharmacy,Jane Wilson Pharmacy,2111 Jane Street Unit 3
43.7010075,-79.5099572,Pharmacy,Long Term Care Facility,Weston Terrace Community,2005 Lawrence Avenue West
43.7224215,-79.5107676,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy #1151,2202 Jane Street
43.6681821,-79.4049432,Community Support Service,,Native Canadian Centre Of Toronto,16 Spadina Road
43.6684655,-79.4618609,Integrated Community Health Services Centre,"Bone Mineral Dxa, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - Spect",Riverside Cardiology & Diagnostic Imaging,5 Junction Road
